Time,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR,Veh Total
0,0,0,0,0,0,1,0,1,0,0,6,0,8
15,1,0,0,0,0,0,0,6,0,0,3,0,10
30,0,0,0,0,0,0,0,5,0,0,1,0,6
45,0,0,0,0,0,0,0,4,0,0,2,0,6
100,0,0,0,0,0,0,1,5,0,0,3,0,9
115,0,0,0,0,0,0,0,3,0,0,1,1,5
130,0,0,1,0,0,0,0,5,0,0,4,0,10
145,0,0,0,0,0,0,0,4,0,0,1,0,5
200,0,0,0,0,0,0,0,3,0,0,1,0,4
215,0,0,0,0,0,0,1,5,0,1,1,0,8
230,0,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,2,0,2
300,0,0,0,0,0,1,0,2,0,0,1,0,4
315,0,0,0,0,0,0,0,1,0,0,1,0,2
330,0,0,1,0,0,0,0,3,0,0,4,0,8
345,0,0,0,0,0,0,0,4,0,0,2,0,6
400,0,0,0,0,0,0,0,2,0,0,6,0,8
415,0,0,0,0,0,0,0,1,0,0,2,0,3
430,0,0,0,0,0,0,0,3,0,0,6,0,9
445,1,0,0,0,0,0,0,3,0,0,4,0,8
500,0,0,0,0,0,0,0,5,0,0,9,0,14
515,0,0,0,0,0,0,0,5,0,0,9,0,14
530,0,0,0,0,0,0,0,6,0,0,12,0,18
545,1,0,0,0,0,0,0,9,0,0,17,0,27
600,0,0,0,0,0,2,0,7,0,0,20,0,29
615,0,0,0,0,0,0,0,9,0,0,27,1,37
630,0,0,0,0,0,0,1,14,0,0,24,0,39
645,3,0,1,0,0,2,4,18,0,0,29,1,58
700,0,0,0,1,0,0,1,20,0,0,31,1,54
715,5,0,3,1,0,0,4,17,0,1,40,1,72
730,1,0,5,0,0,1,3,25,0,0,46,0,81
745,3,0,6,0,0,1,7,30,0,4,52,0,103
800,7,0,4,0,0,0,2,20,0,0,29,0,62
815,2,1,5,1,0,0,4,30,0,1,48,0,92
830,4,0,2,0,0,5,4,24,0,3,23,1,66
845,3,0,9,3,2,3,1,34,0,1,50,0,106
900,6,2,2,8,2,3,1,31,0,3,31,0,89
915,6,0,4,7,0,0,3,28,0,2,27,1,78
930,4,0,3,8,2,4,0,33,0,2,24,0,80
945,4,1,7,12,3,5,8,25,0,3,44,0,112
1000,6,1,2,11,2,5,1,34,0,3,32,0,97
1015,5,1,4,7,2,7,1,21,0,2,37,0,87
1030,6,0,4,9,5,6,5,35,0,4,38,2,114
1045,8,3,4,8,4,8,4,30,0,4,50,0,123
1100,8,3,5,13,3,10,3,29,0,6,34,0,114
1115,4,4,4,15,3,16,2,37,0,3,48,0,136
1130,7,1,8,17,2,8,3,28,0,6,40,0,120
1145,8,2,9,14,9,17,3,41,0,2,48,1,154
1200,8,5,2,23,7,9,6,33,1,5,41,0,140
1215,10,3,4,19,6,8,5,39,0,4,45,0,143
1230,8,2,11,22,5,12,6,34,0,6,35,0,141
1245,9,0,9,14,2,10,5,43,0,5,49,0,146
1300,8,1,6,12,3,6,7,46,0,6,44,0,139
1315,4,3,11,19,5,15,2,32,0,6,44,0,141
