Time,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR,Veh Total
0,0,0,2,0,14,0,1,7,0,1,13,0,38
15,0,1,0,0,6,0,0,11,2,1,4,3,28
30,0,0,0,0,7,1,0,10,0,0,7,1,26
45,0,0,0,0,7,0,0,6,0,1,7,1,22
100,0,0,0,0,1,0,0,5,2,3,9,0,20
115,1,0,0,0,2,0,0,5,0,1,5,0,14
130,1,0,0,0,5,0,0,6,2,4,9,0,27
145,0,0,0,0,1,0,0,6,1,1,5,0,14
200,2,0,0,0,4,1,0,2,0,0,4,0,13
215,1,0,0,0,1,0,0,2,1,0,6,0,11
230,0,0,0,0,0,0,0,3,0,3,2,0,8
245,1,0,0,0,6,0,0,4,0,0,8,0,19
300,0,0,0,0,3,0,0,10,2,0,5,0,20
315,0,0,1,0,1,0,0,4,0,0,7,0,13
330,0,0,0,0,4,0,0,11,0,0,6,0,21
345,1,1,0,0,3,0,0,4,1,1,12,0,23
400,1,0,0,0,2,0,0,9,0,0,10,0,22
415,3,0,0,0,5,0,0,16,1,1,12,0,38
430,2,0,0,0,7,0,0,16,2,1,9,0,37
445,1,2,0,0,10,1,0,11,0,0,11,0,36
500,1,0,1,0,4,0,0,17,0,1,25,0,49
515,1,3,1,0,3,0,0,29,0,2,24,0,63
530,4,2,2,0,16,0,0,48,1,6,44,1,124
545,5,2,1,0,19,0,0,49,2,4,61,0,143
600,6,4,3,0,17,0,1,64,2,6,27,1,131
615,5,2,1,0,32,0,1,75,2,5,42,2,167
630,7,2,0,0,31,0,1,119,4,9,63,0,236
645,8,9,1,0,32,2,0,121,7,14,90,2,286
700,17,11,0,0,47,0,1,140,14,13,96,3,342
715,17,12,6,0,50,1,2,221,11,30,96,9,455
730,23,20,2,0,62,1,7,280,24,25,129,7,580
745,11,13,4,0,84,1,2,327,35,63,104,10,654
800,17,12,2,0,82,0,2,235,26,42,83,8,509
815,12,11,10,0,84,1,4,211,16,32,96,6,483
830,14,11,5,0,73,0,8,264,27,44,80,6,532
845,23,21,2,0,78,1,5,210,25,60,99,11,535
900,9,14,3,0,83,0,2,105,20,49,123,6,414
915,16,8,3,0,95,2,1,122,25,45,89,6,412
930,9,21,4,0,79,1,1,113,33,35,82,14,392
945,11,15,2,1,103,3,5,101,63,48,83,11,446
1000,15,13,3,0,77,2,2,75,22,32,80,7,328
1015,9,13,4,0,100,3,0,109,14,28,72,6,358
1030,13,16,6,0,101,1,1,108,10,18,71,7,352
1045,9,14,2,0,97,3,1,75,6,23,75,8,313
1100,14,22,1,0,115,2,2,101,5,26,85,8,381
1115,6,10,2,2,126,5,4,85,10,28,96,8,382
1130,13,16,3,0,129,3,3,92,19,32,92,8,410
1145,11,10,6,2,114,3,0,86,38,39,96,10,415
1200,17,6,1,1,115,3,3,109,15,35,91,11,407
1215,13,16,3,1,145,1,1,71,21,41,128,4,445
1230,12,19,1,1,135,0,7,94,16,39,95,5,424
1245,6,4,1,1,126,1,2,95,12,23,100,11,382
1300,8,14,1,0,132,1,3,79,16,34,81,14,383
1315,6,12,4,1,130,1,1,101,12,34,84,16,402
1330,8,10,1,0,144,3,4,93,18,37,121,6,445
1345,9,8,8,0,152,2,4,118,16,27,99,6,449
1400,7,18,4,0,150,4,3,113,19,24,123,11,476
1415,10,13,8,0,124,5,3,123,12,36,138,9,481
1430,6,10,2,1,151,2,8,116,11,30,155,5,497
1445,9,9,7,0,146,3,2,113,16,51,136,11,503
1500,7,13,4,1,149,2,3,125,12,30,149,18,513
1515,9,20,2,0,147,3,3,135,8,48,186,13,574
1530,9,14,4,1,150,1,4,139,17,68,212,16,635
1545,4,17,4,2,141,2,4,117,25,59,187,12,574
1600,13,17,5,2,112,2,2,126,21,80,250,18,648
1615,15,22,5,1,145,2,4,119,18,87,210,18,646
1630,11,12,12,0,134,1,3,153,21,88,221,16,672
1645,8,23,5,2,131,5,4,126,21,105,254,8,692
1700,16,23,3,3,147,2,2,124,17,108,227,19,691
1715,15,21,5,1,111,2,5,141,29,128,225,14,697
1730,12,15,2,0,138,2,3,116,23,93,186,18,608
1745,8,26,10,0,112,1,5,121,37,56,129,9,514
1800,12,8,5,0,117,1,3,138,12,40,121,5,462
1815,9,14,2,0,121,2,3,116,22,64,114,11,478
1830,9,16,4,0,93,3,1,91,8,40,132,8,405
1845,4,8,3,0,112,1,3,85,13,38,72,8,347
1900,4,20,3,1,118,2,4,102,7,29,99,10,399
1915,3,11,3,0,121,1,4,88,14,27,96,10,378
1930,3,4,0,0,96,3,1,85,3,25,72,6,298
1945,5,0,0,0,91,4,1,76,7,26,63,8,281
2000,2,5,4,0,107,2,3,120,5,19,70,13,350
2015,4,2,2,0,88,1,1,61,5,17,57,6,244
2030,3,5,3,0,84,2,1,58,3,22,58,10,249
2045,2,2,1,0,71,2,3,48,1,12,75,10,227
2100,3,2,0,0,61,1,2,46,3,16,53,4,191
2115,6,3,4,0,64,1,0,45,6,18,54,7,208
2130,0,3,1,0,47,1,1,45,1,11,51,6,167
2145,0,2,0,0,46,0,1,24,2,2,39,2,118
2200,3,1,0,0,50,0,0,32,0,11,22,6,125
2215,2,1,1,0,33,0,0,30,4,9,34,6,120
2230,0,0,0,0,27,0,0,15,5,5,29,4,85
2245,0,0,0,0,27,0,1,7,2,6,21,3,67
2300,1,0,0,0,21,0,0,24,2,4,28,5,85
2315,2,1,0,0,15,0,0,14,0,6,21,2,61
2330,0,1,3,0,12,0,2,11,3,5,12,2,51
2345,0,1,0,0,9,0,2,5,0,4,17,3,41
Total,635,783,224,25,6920,116,177,7863,1036,2594,7551,613,28537
